项目名称,建筑面积_平米,结构类型,层数,开工日期,竣工日期,预算_万元,实际成本_万元,工期_天,是否超预算,是否延期,地区,天气延误_天,变更单数,安全事故数
阳光花园住宅,12000,框架,18,2022-03-15,2023-06-20,3600,3850,462,是,否,华东,12,8,1
滨海商业中心,28000,框剪,25,2021-09-01,2023-12-15,11200,12100,836,是,是,华东,23,16,2
翠苑公寓,8500,砖混,7,2022-06-01,2023-02-28,1700,1680,272,否,否,华北,5,3,0
鑫源科技园,45000,钢结构,12,2021-03-01,2022-09-30,13500,12900,578,否,否,华南,8,12,1
明珠广场城市综合体,65000,框剪,35,2020-06-15,2023-03-31,26000,28700,1020,是,是,华东,35,22,3
水岸华庭住宅二期,15000,框架,22,2022-08-01,2023-11-15,4500,4420,471,否,否,西南,15,7,0
新都国际学校,22000,框架,6,2022-04-01,2023-05-30,5500,5680,424,是,否,华北,9,9,1
泰丰物流仓库,32000,钢结构,3,2022-01-15,2022-11-30,6400,6100,319,否,否,华南,3,5,2
鼎盛大厦写字楼,38000,框剪,28,2021-11-01,2023-08-15,15200,15800,652,是,是,华东,20,18,2
瑞景花园,9800,框架,14,2022-07-01,2023-07-31,2940,2900,395,否,否,华北,7,4,0
华南智慧城数据中心,18000,钢结构,5,2022-09-01,2023-08-15,9000,9350,348,是,否,华南,5,11,1
青城山度假酒店,16000,框架,10,2022-05-01,2023-10-31,4800,5000,549,是,是,西南,18,10,2
华东科创园一期,52000,钢结构,18,2021-07-01,2023-01-15,15600,15000,564,否,否,华东,10,14,1
京城商务中心,42000,框剪,32,2020-09-01,2023-06-30,16800,17600,1033,是,是,华北,28,20,3
锦江国际医院,35000,框剪,15,2022-02-01,2023-09-30,10500,10800,606,是,否,西南,11,13,1
天湖湿地公园配套,5000,砖混,2,2022-10-01,2023-04-15,750,730,196,否,否,华东,8,2,0
恒安制药厂房,20000,钢结构,4,2022-03-01,2023-02-28,6000,5900,364,否,否,华北,6,8,0
滨江城市综合体二期,55000,框剪,38,2020-03-15,2023-07-15,22000,24500,1218,是,是,华东,42,25,4
